,name,category,latitude,longitude,rating,reviews,photo,street_view
409,ABD foodmart,Grocery store,-8.1183318,115.08331000000001,4.4,203.0,https://lh5.googleusercontent.com/p/AF1QipOXCOjKcPzqwn-Pf0tBsj4FNwfA6LIVRBNQQxsM=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOXCOjKcPzqwn-Pf0tBsj4FNwfA6LIVRBNQQxsM=w1600-h1000-k-no
410,Lok Baintan Floating Market,Floating market,-3.2911148999999997,114.66067930000001,4.6,741.0,https://lh5.googleusercontent.com/p/AF1QipPHfQhvNaMHwvWckeVGCh47n65uWUjeKYpgilgc=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPHfQhvNaMHwvWckeVGCh47n65uWUjeKYpgilgc=w1600-h1000-k-no
411,Pasar Kerta Waringin Anggabaya,Produce market,-8.597872,115.234049,4.4,202.0,https://lh5.googleusercontent.com/p/AF1QipMNkHHVP6TtPqSHGYpz5pAFP9kLsFWjSuSWGQjs=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMNkHHVP6TtPqSHGYpz5pAFP9kLsFWjSuSWGQjs=w1600-h1000-k-no
412,Indomaret Wanagiri,Grocery store,-8.2370242,115.1232095,4.5,217.0,https://lh5.googleusercontent.com/p/AF1QipMrGxqqyIpmT4X8ti-v4Vwrok3jDaDii7E8C23n=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMrGxqqyIpmT4X8ti-v4Vwrok3jDaDii7E8C23n=w1600-h1000-k-no
413,Bintang Supermarket Ubud,Supermarket,-8.4996435,115.25257350000001,4.3,2190.0,https://lh5.googleusercontent.com/p/AF1QipP0UYw0IsMZQA0RZOO-GMrgl2m0KSjbdHZnzepw=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipP0UYw0IsMZQA0RZOO-GMrgl2m0KSjbdHZnzepw=w1600-h1000-k-no
414,The SILA'S Agrotourism,Theme park,-8.3008386,115.160651,4.4,2326.0,https://lh5.googleusercontent.com/p/AF1QipOaSY32TxeddR6_c2B49YqlCY-H0yIz7VrIe4Kv=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOaSY32TxeddR6_c2B49YqlCY-H0yIz7VrIe4Kv=w1600-h1000-k-no
415,Taman Nusa,Cultural center,-8.5286174,115.3585207,4.3,1437.0,https://lh5.googleusercontent.com/p/AF1QipMeqf8K3dFHGSAwrFVzjuLxYj-urzztqEdpsUvK=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMeqf8K3dFHGSAwrFVzjuLxYj-urzztqEdpsUvK=w1600-h1000-k-no
416,Setia Darma House of Mask and Puppets,Art museum,-8.534021899999999,115.2797902,4.7,639.0,https://lh5.googleusercontent.com/p/AF1QipPEzQJVTnA8qu4FSyH_GAvXIjzK3B4qTr8kjaQm=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPEzQJVTnA8qu4FSyH_GAvXIjzK3B4qTr8kjaQm=w1600-h1000-k-no
417,Bali Zoo,Zoo,-8.590407699999998,115.26648059999998,4.4,13763.0,https://lh5.googleusercontent.com/p/AF1QipOi-joRMGZt7RwH4_tntZUZUErTwHI4Azezab5j=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOi-joRMGZt7RwH4_tntZUZUErTwHI4Azezab5j=w1600-h1000-k-no
418,Pasar Asoka,Market,-8.6557115,115.2249563,4.4,3044.0,https://lh5.googleusercontent.com/p/AF1QipPn6O2-k3iYD-mIhmlRODV8-0PaPjiyZCbOHyyD=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPn6O2-k3iYD-mIhmlRODV8-0PaPjiyZCbOHyyD=w1600-h1000-k-no
419,Kampung Gajah Mas/Villa Gajah Mas Baturiti Bedugul,Tourist attraction,-8.3250753,115.185777,4.7,171.0,https://lh5.googleusercontent.com/p/AF1QipOMjkwOZDSfScJvIKq-kGaVjt-DGLaqdPIjD2f8=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOMjkwOZDSfScJvIKq-kGaVjt-DGLaqdPIjD2f8=w1600-h1000-k-no
420,Pura Dalem Taman Kaja,Hindu temple,-8.5063414,115.26566240000001,4.5,255.0,https://lh5.googleusercontent.com/p/AF1QipO_40zMesQ_pkyt4-0HoQ8bgr_H4NWsd39Z19f-=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipO_40zMesQ_pkyt4-0HoQ8bgr_H4NWsd39Z19f-=w1600-h1000-k-no
421,Ubud Palace,Tourist attraction,-8.5067194,115.26272220000001,4.2,7071.0,https://lh5.googleusercontent.com/p/AF1QipOSKEv6a-RdMQIvz7wYSGVOPJmZyZwLCI-SkvZC=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOSKEv6a-RdMQIvz7wYSGVOPJmZyZwLCI-SkvZC=w1600-h1000-k-no
422,Hot Spring Penatahan Kaja,Tourist attraction,-8.4340192,115.1248004,4.2,662.0,https://lh5.googleusercontent.com/p/AF1QipPSb9Y8Rrml4BiK0o5jX9CBW_ayCoRMx4EipE_p=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPSb9Y8Rrml4BiK0o5jX9CBW_ayCoRMx4EipE_p=w1600-h1000-k-no
423,Titi Batu Ubud Club,Gym,-8.5365335,115.26678670000001,4.3,207.0,https://lh5.googleusercontent.com/p/AF1QipNfkflzzH7Y7HOmYmZPC7WFjO0M4_Nx3hBQZf19=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNfkflzzH7Y7HOmYmZPC7WFjO0M4_Nx3hBQZf19=w1600-h1000-k-no
424,Segara Windhu Coffee Plantation,Tourist attraction,-8.3870137,115.33401200000002,4.3,718.0,https://lh5.googleusercontent.com/p/AF1QipNMJfriH7SU3rCQhKiNg8EUYCGKXZHNvC1rhov0=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNMJfriH7SU3rCQhKiNg8EUYCGKXZHNvC1rhov0=w1600-h1000-k-no
425,Hidden Canyon Beji Guwang,Tourist attraction,-8.6099153,115.28942859999998,4.5,2269.0,https://lh5.googleusercontent.com/p/AF1QipN1s4MEjLHasuAMYUriyoR-HeW6aE5B9WITVgFh=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipN1s4MEjLHasuAMYUriyoR-HeW6aE5B9WITVgFh=w1600-h1000-k-no
426,Uluwatu Temple,Hindu temple,-8.829143199999999,115.08490690000001,4.6,27790.0,https://lh5.googleusercontent.com/p/AF1QipOSEc94v4A1Dio85uFfOO5b9X2xIbvC1zqsuj1P=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOSEc94v4A1Dio85uFfOO5b9X2xIbvC1zqsuj1P=w1600-h1000-k-no
427,Hard Rock Cafe Bali,American restaurant,-8.721863800000001,115.16995759999999,4.5,7658.0,https://lh5.googleusercontent.com/p/AF1QipM3l4ppMLli4_EZpQ3kfmbEtUulOcGSb81viIuV=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNUm35_HMKm8y5Cr9442WVAGWQ3N1-ZK8vJsRRu=w1600-h1000-k-no
428,Mini Mart CG2,Supermarket,-8.6416401,115.15471529999999,4.3,186.0,https://lh5.googleusercontent.com/p/AF1QipPNI8iwt89KYGNQ4x-5OiAllUTQGHKYNjynWpQK=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPNI8iwt89KYGNQ4x-5OiAllUTQGHKYNjynWpQK=w1600-h1000-k-no
429,"Mandapa, a Ritz-Carlton Reserve",Hotel,-8.485686,115.24563300000001,4.7,1177.0,https://lh5.googleusercontent.com/p/AF1QipNblyUTZuHoJvOxiCfkeQK0CveJSOFb8q9EErub=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipNblyUTZuHoJvOxiCfkeQK0CveJSOFb8q9EErub=w1600-h1000-k-no
430,Pasar Rakyat Kreneng,Night market,-8.6568324,115.2242678,4.5,104.0,https://lh5.googleusercontent.com/p/AF1QipPq-cKfo7g8JlEfbI-yWm4wUeak8sUZiMKmted4=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipPq-cKfo7g8JlEfbI-yWm4wUeak8sUZiMKmted4=w1600-h1000-k-no
431,Warung Jamu Adit,Night market,-8.6879091,115.1777256,4.4,58.0,https://lh5.googleusercontent.com/p/AF1QipOL0M_CcdghDCYaHDa6NyEM_npP9ySicvXggBuB=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipOL0M_CcdghDCYaHDa6NyEM_npP9ySicvXggBuB=w1600-h1000-k-no
432,Sport Center,Night market,-8.703498199999999,115.2461362,4.3,84.0,https://lh5.googleusercontent.com/p/AF1QipMhou1oKtm2AddE0g7sUPbyE_5tm0FbckfkJXs=w800-h500-k-no,https://lh5.googleusercontent.com/p/AF1QipMhou1oKtm2AddE0g7sUPbyE_5tm0FbckfkJXs=w1600-h1000-k-no
433,Warung lalapan cahaya cbg si roy,Night market,-8.6540382,115.2069118,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZgkkpUWP59jmutQD4L0l6A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=23.825668&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZgkkpUWP59jmutQD4L0l6A&cb_client=search.gws-prod.gps&w=1600&h=1000&yaw=23.825668&pitch=0&thumbfov=100
